parCodigo,parSiglas,parDenominacion,parColor
"0002","JUSTICIALISTA            ","JUSTICIALISTA                                                                                       ","96f837"
"0006","INTRANSIGENTE            ","INTRANSIGENTE                                                                                       ","7f35f2"
"0008","FEDERAL                  ","FEDERAL                                                                                             ","071d03"
"0022","HUMANISTA                ","HUMANISTA                                                                                           ","7ecad6"
"0023","UNION POPULAR            ","UNION POPULAR                                                                                       ","C00000"
"0033","NACIONALISTA CONSTITUCION","NACIONALISTA CONSTITUCIONAL -  UNIR                                                                 ","23f681"
"0038","MOVIMIENTO SOCIALISTA DE ","MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                           ","F79646"
"0040","MOVIMIENTO LIBRES DEL SUR","MOVIMIENTO LIBRES DEL SUR                                                                           ","820000"
"0047","COALICION CIVICA - ARI   ","COALICION CIVICA - ARI                                                                              ","c15533"
"0050","SOCIALISTA               ","SOCIALISTA                                                                                          ","66CCFF"
"0061","IZQUIERDA POR UNA OPCION ","IZQUIERDA POR UNA OPCION SOCIALISTA                                                                 ","00B0F0"
"0065","UNION CELESTE Y BLANCO   ","UNION CELESTE Y BLANCO                                                                              ","FF5050"
"0069","GEN                      ","GEN                                                                                                 ","FFFF00"
"0070","DE TRABAJADORES POR EL SO","DE TRABAJADORES POR EL SOCIALISMO                                                                   ","CC3300"
"0071","DEL OBRERO               ","DEL OBRERO                                                                                          ","DDD9C3"
"0072","INSTRUMENTO ELECTORAL POR","INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR                                                         ","CCC0DA"
"0074","DEL TRABAJO Y DEL PUEBLO ","DEL TRABAJO Y DEL PUEBLO                                                                            ","FFCCFF"
"0076","DE LA CULTURA LA EDUCACIO","DE LA CULTURA LA EDUCACION Y EL TRABAJO                                                             ","07ad0b"
"0079","RENOVADOR FEDERAL        ","RENOVADOR FEDERAL                                                                                   ","4c63ef"
"0082","COMPROMISO FEDERAL       ","COMPROMISO FEDERAL                                                                                  ","a5c893"
"0083","MOVIMIENTO POLITICO, SOCI","MOVIMIENTO POLITICO, SOCIAL Y CULTURAL PROYECTO SUR                                                 ","8a4e3b"
"0110","DEFENSA COMUNAL DE E.DE L","DEFENSA COMUNAL DE E.DE LA CRUZ                                                                     ","719445"
"0151","MOVIMIENTO POPULAR NEUQUI","MOVIMIENTO POPULAR NEUQUINO                                                                         ","6666FF"
"0153","SOCIALISTA AUTENTICO DEL ","SOCIALISTA AUTENTICO DEL CHUBUT                                                                     ","414141"
"0159","MOVIMIENTO NORTE GRANDE  ","MOVIMIENTO NORTE GRANDE                                                                             ","026ea8"
"0165","NUEVO OCTUBRE            ","NUEVO OCTUBRE                                                                                       ","993366"
"0167","FEDERAL FUEGUINO         ","FEDERAL FUEGUINO                                                                                    ","3d04cd"
"0168","MOVIMIENTO DE VIDA Y COMP","MOVIMIENTO DE VIDA Y COMPROMISO                                                                     ","240d2f"
